name,length,metacritic,excitement,played,genre,playing
Baldur's Gate: Dark Alliance  (ps2),87.0,6.0,false,rpg,
Armored Core 2 (ps2),82.0,6.0,false,action,
Alien Hominid (ps2),78.0,7.0,false,side-scrolling shooter,
NFL Street (ps2),88.0,7.0,false,sports,
Eternal Poison (ps2),91.0,5.0,false,rpg,
Kessen III (ps2),92.0,4.0,false,turn base rpg,
Sly 2: Band of Thieves (ps2),9.0,5.0,false,stealth/plataform,
Twisted Metal: Black (ps2),91.0,4.0,false,car/beatup,
Shadow of Destiny (ps2),82.0,4.0,false,adventure,
Mario Golf (gamecube),82.0,5.0,false,sports,
Mario Tennis (n64),91.0,5.0,false,sports,
Mario Power Tennis (gamecube),84.0,5.0,false,sports,
Tales of Symphonia (gamecube),89.0,5.0,false,rpg,
P.N. 03 (gamecube),93.0,8.0,false,action/adventure,
Resident Evil 2 (ps1),90.0,7.0,false,horror/shooting,
Perfect Dark (n64),97.0,4.0,false,fps,
I-Ninja (gamecube),82.0,4.0,false,platform/action,
Conker's Bad Fur Day (n64),92.0,5.0,false,platform,
Turok: Dinosaur Hunter (n64),85.0,4.0,false,fps,
Dino Crisis 2 (ps1),93.0,6.0,false,survival horror,
Tenchu: Stealth Assassins (ps1),87.0,6.0,false,stealth,
Oddworld: Abe's Exoddus (ps1),88.0,7.0,false,platform 2d,
Einhander (ps1),89.0,5.0,false,side-scrolling shooter,
Grandia (ps1),89.0,5.0,false,rpg,
Parasite Eve II (ps1),85.0,4.0,false,survival horror,
Alone in The dark (ps1),78.0,4.0,false,survival horror,
Saiyuki: Journey West (ps1),85.0,5.0,false,rpg,
Lunar: Silver Star Story (ps1),85.0,5.0,false,rpg,
Lunar 2: Eternal Blue,86.0,5.0,false,rpg,
Resident Evil 3: Nemesis (ps1),95.0,7.0,false,horror/shooting,
Metal Slug X (ps1),88.0,7.0,false,side-scrolling shooter,
Star Ocean: The Second Story (ps1),84.0,5.0,false,rpg,
Xenogears (ps1),91.0,5.0,false,rpg,
Breath of Fire IV (ps1),85.0,5.0,false,rpg,
Elemental Gearbolt (ps1),76.0,6.0,false,shooter,
MTX Mototrax (ps2),79.0,5.0,false,sports,
FIFA Soccer 08 (ps2),83.0,5.0,false,sports,
NCAA Football 06 (ps2),87.0,5.0,false,sports,
Dead Space Remastered (xbox),89.0,7.0,true,horror/shooting,
Tomb Raider (2013) (xbox),87.0,7.0,false,action/adventure,
Portal 2 (pc),95.0,6.0,false,puzzle,
Celeste (pc),94.0,6.0,true,platform,
Axiom Verge (pc),89.0,8.0,false,metroidvania,
Bastion (pc),90.0,7.0,false,rpg,
Post Void (pc),83.0,8.0,false,fps,
Inside (pc),93.0,10.0,true,puzzle/platform,X
Vampire Survivors (pc),95.0,8.0,false,roguelike,
