name,length,metacritic,excitement,played,genre,playing
Donkey Kong Return (3ds),11,83,5,false,platform
F Zero gx (gamecube),9,89,5,false,car/action
Eternal Darkness (gamecube),13,92,7,false,survival horror
Legacy of Kain (ps1),12,91,6,false,action/adventure
Half Life 2 (pc) ,13,96,7,false,fps
Shadow of Colossus (ps2),7,91,7,false,action/adventure
Jak and Daxter (ps2),10,90,6,false,action/adventure
Viewtiful Joe  (ps2),8,93,5,false,action
Dragon Quest VIII (ps2),62,89,4,false,rpg
Time Splitters (ps2),2,81,6,false,fps
Dragon Ball Z Budokai 3 (ps2),12,87,4,false,fighting
Red Faction (ps2),6,88,5,false,fps
Shadow of Rome (ps2),19,88,5,false,action
Nobunaga's Ambition: Iron Triangle (ps2),0,78,4,false,turn base rpg
Maximo: Ghosts to Glory (ps2),9,87,5,false,action/adventure
The Warriors (ps2),11,85,3,false,action
Psi-Ops: The Mindgate Conspiracy (ps2),12,84,4,false,action/adventure
Valkyrie Profile 2: Silmeria (ps2),43,89,5,false,rpg
Rygar: The Legendary Adventure (ps2),6,83,3,false,action
Indigo Prophecy (ps2),8,84,4,false,action/adventure
Maximo vs Army of Zin,8,83,4,false,action/adventure
Odin Sphere (ps2),37,84,4,false,rpg
ATV Offroad Fury 2 (ps2),0,82,6,false,sports
Sakura Wars: So Long My Love (ps2),22,85,5,false,rpg/visual novel
Freekstyle (ps2),0,82,6,false,sports
Dark Cloud (ps2),31,80,5,false,rpg
 Guilty Gear X (ps2),0,79,7,false,fighting
Baldur's Gate: Dark Alliance  (ps2),12,87,6,false,rpg
Armored Core 2 (ps2),11,82,6,false,action
Alien Hominid (ps2),2,78,7,false,side-scrolling shooter
NFL Street (ps2),0,88,7,false,sports
Eternal Poison (ps2),40,91,5,false,rpg
Kessen III (ps2),30,92,4,false,turn base rpg
Sly 2: Band of Thieves (ps2),15,9,5,false,stealth/plataform
Twisted Metal: Black (ps2),4,91,4,false,car/beatup
Shadow of Destiny (ps2),5,82,4,false,adventure
Mario Golf (gamecube),8,82,5,false,sports
Mario Tennis (n64),8,91,5,false,sports
Mario Power Tennis (gamecube),4,84,5,false,sports
Tales of Symphonia (gamecube),47,89,5,false,rpg
P.N. 03 (gamecube),3,93,8,false,action/adventure
Resident Evil 2 (ps1),6,90,7,false,horror/shooting
Perfect Dark (n64),9,97,4,false,fps
I-Ninja (gamecube),8,82,4,false,platform/action
Conker's Bad Fur Day (n64),11,92,5,false,platform
Turok: Dinosaur Hunter (n64),8,85,4,false,fps
Dino Crisis 2 (ps1),6,93,6,false,survival horror
Tenchu: Stealth Assassins (ps1),7,87,6,false,stealth
Oddworld: Abe's Exoddus (ps1),15,88,7,false,platform 2d
Einhander (ps1),3,89,5,false,side-scrolling shooter
Grandia (ps1),42,89,5,false,rpg
Parasite Eve II (ps1),12,85,4,false,survival horror
Alone in The dark (ps1),5,78,4,false,survival horror
Saiyuki: Journey West (ps1),34,85,5,false,rpg
Lunar: Silver Star Story (ps1),27,85,5,false,rpg
Lunar 2: Eternal Blue,36,86,5,false,rpg
Resident Evil 3: Nemesis (ps1),7,95,7,false,horror/shooting
Metal Slug X (ps1),1,88,7,false,side-scrolling shooter
Star Ocean: The Second Story (ps1),40,84,5,false,rpg
Xenogears (ps1),57,91,5,false,rpg
Breath of Fire IV (ps1),37,85,5,false,rpg
Elemental Gearbolt (ps1),1,76,6,false,shooter
MTX Mototrax (ps2),7,79,5,false,sports
FIFA Soccer 08 (ps2),0,83,5,false,sports
NCAA Football 06 (ps2),0,87,5,false,sports
Dead Space Remastered (xbox),12,89,7,true,horror/shooting
Tomb Raider (2013) (xbox),12,87,7,false,action/adventure
Portal 2 (pc),9,95,6,false,puzzle
Celeste (pc),8,94,6,true,platform
Axiom Verge (pc),11,89,8,false,metroidvania
Bastion (pc),6,90,7,false,rpg
Post Void (pc),2,83,8,false,fps
Inside (pc),4,93,10,true,puzzle/platform
Vampire Survivors (pc),13,95,8,false,roguelike
